episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food
701,AStar,Maze4_hard.txt,1165,120,12,0,29.7931,122,0,1.0,97.08
702,AStar,Maze4_hard.txt,171,20,2,0,37.6023,27,0,1.0,85.5
703,AStar,Maze4_hard.txt,756,90,9,0,28.7685,97,0,1.0,84.0
704,AStar,Maze4_hard.txt,1237,130,13,0,26.0534,181,0,1.0,95.15
705,AStar,Maze4_hard.txt,133,20,2,0,27.0451,27,0,1.0,66.5
706,AStar,Maze4_hard.txt,490,60,6,0,24.5918,59,0,1.0,81.67
707,AStar,Maze4_hard.txt,667,60,6,0,23.8261,84,0,1.0,111.17
708,AStar,Maze4_hard.txt,0,0,0,0,0.0,0,0,0.0,0.0
709,AStar,Maze4_hard.txt,985,110,11,0,34.2335,123,0,1.0,89.55
710,AStar,Maze4_hard.txt,40,10,1,0,8.05,9,0,1.0,40.0
711,AStar,Maze4_hard.txt,1940,170,17,0,32.3655,180,0,1.0,114.12
712,AStar,Maze4_hard.txt,2000,220,22,0,29.6945,199,0,1.0,90.91
713,AStar,Maze4_hard.txt,901,90,9,0,28.7958,99,0,1.0,100.11
714,AStar,Maze4_hard.txt,244,60,6,0,19.291,53,0,1.0,40.67
715,AStar,Maze4_hard.txt,1248,150,15,0,29.0897,145,0,1.0,83.2
716,AStar,Maze4_hard.txt,772,90,9,0,27.6282,109,0,1.0,85.78
