episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food,cluster,tsne_x,tsne_y
56,AStar,Maze1_easy.txt,2000,560,56,0,22.6205,108,0,1.0,35.71,0,20.847536,-47.884502
57,AStar,Maze1_easy.txt,2000,580,58,0,21.142,111,0,1.0,34.48,0,48.303036,-59.679306
58,AStar,Maze1_easy.txt,2000,610,61,0,20.8505,108,0,1.0,32.79,0,63.782753,-52.255558
59,AStar,Maze1_easy.txt,2000,630,63,0,21.476,112,0,1.0,31.75,0,65.93272,-48.00893
60,AStar,Maze1_easy.txt,2000,620,62,0,20.7755,118,0,1.0,32.26,0,65.65682,-45.734676
61,AStar,Maze1_easy.txt,2000,560,56,0,21.953,108,0,1.0,35.71,0,29.526396,-60.497833
62,AStar,Maze1_easy.txt,2000,600,60,0,21.4115,113,0,1.0,33.33,0,59.45624,-51.957077
63,AStar,Maze1_easy.txt,2000,590,59,0,22.764,104,0,1.0,33.9,0,41.77304,-48.460625
64,AStar,Maze1_easy.txt,2000,540,54,0,23.3225,102,0,1.0,37.04,0,6.3578405,-68.84363
65,AStar,Maze1_easy.txt,2000,560,56,0,22.955,104,0,1.0,35.71,0,20.56235,-51.26948
66,AStar,Maze1_easy.txt,2000,590,59,0,21.607,113,0,1.0,33.9,0,53.29901,-52.9933
67,AStar,Maze1_easy.txt,2000,540,54,0,22.5975,102,0,1.0,37.04,0,13.409971,-69.124504
68,AStar,Maze1_easy.txt,2000,640,64,0,21.303,117,0,1.0,31.25,0,67.97488,-46.333557
69,AStar,Maze1_easy.txt,2000,600,60,0,21.229,110,0,1.0,33.33,0,61.074223,-52.39526
70,AStar,Maze1_easy.txt,2000,560,56,0,23.7945,105,0,1.0,35.71,0,9.037641,-44.677425
71,AStar,Maze1_easy.txt,2000,560,56,0,22.842,107,0,1.0,35.71,0,19.825714,-48.385998
72,AStar,Maze1_easy.txt,1066,300,30,0,21.8696,52,0,1.0,35.53,0,-8.077821,0.415509
